technique,fraction,repeat,selection_seed,size,coverage_mean,coverage_max,stability_jaccard,classes,implementation,selection_seconds_total,selection_seconds_per_repeat,selection_cpu_seconds_total,rss_before_mb,rss_peak_mb,knn_backend,opf_scope,measurement_isolation
probcover_dinov2,0.2,4,45,178,0.1339,0.5295,0.38,"{'traffic_light': 99, 'regulatory': 187}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,5,46,178,0.1338,0.6868,0.38,"{'regulatory': 195, 'traffic_light': 91}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,6,47,178,0.1339,0.6951,0.38,"{'traffic_light': 97, 'regulatory': 202}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,7,48,178,0.1348,0.6951,0.38,"{'regulatory': 204, 'traffic_light': 92}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.2,8,49,178,0.134,0.6951,0.38,"{'regulatory': 192, 'traffic_light': 92}",ProbCover; unlabeled delta at purity >= 0.95,317.876577709103,39.734572213637875,1320.5258330000001,170.734375,187.015625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,1,42,178,0.1553,0.5132,0.614,"{'regulatory': 188, 'traffic_light': 70}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,2,43,178,0.1532,0.4837,0.614,"{'regulatory': 192, 'traffic_light': 65}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,3,44,178,0.1534,0.5287,0.614,"{'regulatory': 196, 'traffic_light': 64}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,4,45,178,0.1535,0.4837,0.614,"{'regulatory': 197, 'traffic_light': 63}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,5,46,178,0.1531,0.5287,0.614,"{'regulatory': 192, 'traffic_light': 72}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,6,47,178,0.1523,0.4837,0.614,"{'regulatory': 191, 'traffic_light': 66}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,7,48,178,0.1525,0.4837,0.614,"{'regulatory': 202, 'traffic_light': 68}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.2,8,49,178,0.1537,0.4837,0.614,"{'regulatory': 193, 'traffic_light': 71}",FreeSel; FDS on local DINO patterns,35.11741795798298,4.3896772447478725,153.05896399999997,168.359375,178.90625,not_applicable,not_applicable,dedicated_process
random,0.5,1,42,444,0.0766,0.5032,0.336,"{'traffic_light': 204, 'regulatory': 519}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,2,43,444,0.0792,0.5418,0.336,"{'regulatory': 516, 'traffic_light': 171}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,3,44,444,0.0798,0.7034,0.336,"{'regulatory': 502, 'traffic_light': 200}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,4,45,444,0.0786,0.6272,0.336,"{'regulatory': 504, 'traffic_light': 205}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,5,46,444,0.0828,0.6314,0.336,"{'regulatory': 522, 'traffic_light': 183}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,6,47,444,0.0788,0.6272,0.336,"{'regulatory': 526, 'traffic_light': 147}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,7,48,444,0.0754,0.6409,0.336,"{'regulatory': 510, 'traffic_light': 202}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
random,0.5,8,49,444,0.0766,0.6314,0.336,"{'regulatory': 485, 'traffic_light': 195}",random sampling control,0.0017599170096218586,0.00021998962620273232,0.001886999999999972,171.578125,171.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,1,42,444,0.0524,0.2135,0.697,"{'regulatory': 489, 'traffic_light': 212}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,2,43,444,0.0523,0.2002,0.697,"{'regulatory': 507, 'traffic_light': 215}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,3,44,444,0.0526,0.2127,0.697,"{'regulatory': 501, 'traffic_light': 210}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,4,45,444,0.0525,0.2284,0.697,"{'regulatory': 495, 'traffic_light': 213}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,5,46,444,0.0523,0.2135,0.697,"{'regulatory': 503, 'traffic_light': 214}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,6,47,444,0.0522,0.214,0.697,"{'regulatory': 496, 'traffic_light': 221}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,7,48,444,0.0523,0.2064,0.697,"{'regulatory': 493, 'traffic_light': 210}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
kmeans_dinov2,0.5,8,49,444,0.0522,0.1988,0.697,"{'regulatory': 497, 'traffic_light': 211}",k-means + sample nearest to centroid on DINOv2 embeddings,1753.9447192909429,219.24308991136786,6890.123356,170.953125,177.75,not_applicable,not_applicable,dedicated_process
opf_dinov2,0.5,1,42,444,0.1103,0.7173,1.0,"{'regulatory': 519, 'traffic_light': 235}",OPF root + quota on the full pool,6.73596587497741,6.73596587497741,5.309279,171.234375,257.796875,not_applicable,full_pool,dedicated_process
typiclust_dinov2,0.5,1,42,444,0.0524,0.2224,0.697,"{'regulatory': 490, 'traffic_light': 208}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,2,43,444,0.0523,0.2002,0.697,"{'regulatory': 507, 'traffic_light': 215}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,3,44,444,0.0526,0.2013,0.697,"{'regulatory': 498, 'traffic_light': 206}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,4,45,444,0.0525,0.2234,0.697,"{'regulatory': 493, 'traffic_light': 205}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,5,46,444,0.0524,0.232,0.697,"{'regulatory': 501, 'traffic_light': 209}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,6,47,444,0.0522,0.214,0.697,"{'regulatory': 497, 'traffic_light': 218}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,7,48,444,0.0523,0.2064,0.697,"{'regulatory': 494, 'traffic_light': 210}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
typiclust_dinov2,0.5,8,49,444,0.0526,0.214,0.697,"{'regulatory': 495, 'traffic_light': 211}",TypiClust,823.8264841249911,102.97831051562389,3590.932273,171.46875,177.578125,sklearn_cosine_knn,not_applicable,dedicated_process
probcover_dinov2,0.5,1,42,444,0.0674,0.2135,0.755,"{'regulatory': 507, 'traffic_light': 215}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,2,43,444,0.068,0.2135,0.755,"{'regulatory': 511, 'traffic_light': 215}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,3,44,444,0.0675,0.2135,0.755,"{'regulatory': 501, 'traffic_light': 218}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,4,45,444,0.0679,0.2135,0.755,"{'regulatory': 505, 'traffic_light': 213}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,5,46,444,0.0668,0.2135,0.755,"{'regulatory': 497, 'traffic_light': 220}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,6,47,444,0.0678,0.2135,0.755,"{'regulatory': 507, 'traffic_light': 220}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,7,48,444,0.0684,0.2135,0.755,"{'regulatory': 500, 'traffic_light': 218}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
probcover_dinov2,0.5,8,49,444,0.0659,0.216,0.755,"{'regulatory': 501, 'traffic_light': 221}",ProbCover; unlabeled delta at purity >= 0.95,797.7368308339501,99.71710385424376,3852.1619049999995,171.03125,199.40625,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,1,42,444,0.0702,0.3619,0.853,"{'regulatory': 490, 'traffic_light': 172}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,2,43,444,0.0693,0.38,0.853,"{'regulatory': 489, 'traffic_light': 176}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,3,44,444,0.07,0.5287,0.853,"{'regulatory': 487, 'traffic_light': 177}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,4,45,444,0.0698,0.38,0.853,"{'regulatory': 492, 'traffic_light': 173}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,5,46,444,0.0706,0.5287,0.853,"{'regulatory': 482, 'traffic_light': 184}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,6,47,444,0.0699,0.38,0.853,"{'regulatory': 492, 'traffic_light': 174}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,7,48,444,0.0704,0.3858,0.853,"{'regulatory': 492, 'traffic_light': 174}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
freesel_dino,0.5,8,49,444,0.0697,0.3858,0.853,"{'regulatory': 492, 'traffic_light': 176}",FreeSel; FDS on local DINO patterns,78.8401366249891,9.855017078123637,365.824513,170.953125,181.359375,not_applicable,not_applicable,dedicated_process
